,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
20952,TUI Airways,1,"""A disappointing experience""",26th September 2022,True,"  A disappointing experience from start to finish. Both outbound and inbound flights had delays. A 6 hour delay on the outbound and a 2 hour delay on the inbound. Both of which were poorly communicated and managed. We paid for extra space seats and although the extra leg room was average the seat pitches were very small. This is in comparison to budget airlines that we normally fly with. Where the planes normally have 6 seats a row, the TUI aircrafts had 8 seats per row and although I believe this was a significantly bigger plane it was not big enough to accommodate people comfortably.",Boeing 737,Couple Leisure,Economy Class,Manchester to Rhodes,September 2022,1.0,4.0,3.0,1.0,,1.0,1.0,no
3648,Aircalin,8,Aircalin customer review,12th February 2014,False,Sydney - Noumea. Didn't know what to expect from this smaller airline. Was a full flight with school holidays over. Staff at the gate were a combination of Qantas and Air Calin crew. Aircraft was a modern A330. Helps to have a small understanding of French because the crew will address you in French first. Really impressed by meal service. A full tray with salad bread main and dessert. Landing in Noumea on second attempt due to a go-around but crew were very professional throughout the flight. Entertainment system only covered a limited selection in comparison to other carriers.,,,Economy Class,,,0.0,0.0,0.0,,0.0,,0.0,yes
819,Air Arabia,2,"""I am very disappointed""",9th September 2018,True,  Brussels to Casablanca. I had to pay extra 50 euros at airport for having just 2 kilos more. I am very disappointed. My ticket cost me 200 euros at the start now cost me 250. Totally ridiculous At the end had to wait 1 hour at arrival the get back my luggage.,,Business,Economy Class,Brussels to Casablanca,September 2018,3.0,1.0,,1.0,,,1.0,no
9012,Etihad Airways,1,"""I would not recommend this airline""",17th July 2022,False,"  Worst airline I’ve tried!! We took 4 planes from Qatar to Bahrain and back through Abu Dhabi, 3 of those flights got delayed. In one of the flights we had to sit in the aircraft without ventilation or AC for almost half an hour in a crowded flight.  Not to mention The staff is not friendly at all and the tickets were pricy. I would not recommend this airline.",,Family Leisure,Economy Class,Doha to Bahrain via Abu Dhabi,July 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
8024,Delta Air Lines,2,"""flatly refuses to compensate""",18th May 2023,True,  Delta kept me on the plane at the gate for 7 hours because of a door issue and now flatly refuses to compensate for any expenses incurred. I missed my connecting flight and the next flight was 24 hours later. I had to pay for a hotel and transportation.,,Solo Leisure,Economy Class,Lima to Atlanta,April 2023,1.0,2.0,,1.0,,,2.0,no
7314,Comair,9,"""inflight service is very good""",22nd April 2017,False,"  Johannesburg to Cape Town on British Airways marketed flight operated by Comair. Check in at Terminal B quick and polite as was security, visited the domestic Slow Lounge which is very good with lots of food & drink options. Boarded on time through gate D2 on to a decent clean 737-800 seated in 1A which was comfortable drinks offered prior to take off, departed on time once airborne service was very good food was okay a full breakfast served.. Managed 40 minutes sleep before decent.. Landed around 10 minutes early on to a bridge baggage off the belt quickly.. I travelled with Comair 3 times over the previous week and find that both ground and inflight service is very good. ",Boeing 737-800,Business,Business Class,Johannesburg to Cape Town,April 2017,5.0,5.0,4.0,5.0,,,4.0,yes
4572,Arkefly,1,Arkefly customer review,20th July 2009,False,Holland to Jamaica return in Star Class Arkefly's equivalent of Business Class. Both flights departed over 2.5 hours late our seats still had the previous passenger's meal remainders. Planes are very very old. Staff friendly food is average but reasonable for charter. We wouldn't fly this airline again.,,,,,,,,,,,,,no
3358,AirAsia Philippines,3,"""changes every minute""",29th August 2019,True," Our flight was smooth at first. We enjoyed our trip from Manila to Cebu. But during our return to Manila, our flight was delayed from 5pm to 5.50pm then to 7.20pm to 7.10 pm to 7.25 pm and lastly to 7.50pm. Due to these changes every minute, we have been confused and were not able to go to the gate 20mins before the final time of departure. We arrived 6 mins late and were not accepted on the gate. Our flight was forfeited and we need to book another flight to be able to return to Manila. It was so devastating and heartbreaking as we have to incur another expense to return to Manila that costs us same price of round trip from Manila to Cebu and vice versa.",,Family Leisure,Economy Class,Cebu to Manila,August 2019,4.0,2.0,,2.0,,,1.0,no
22174,VivaAerobús,1,"""oversold, no seats available""",2nd January 2022,True,"  Worst experience ever, don't waste your money, Worst customer service, professionalism, no ethics at all / no respect after checking in couldn't board my flight, airline tickets were oversold, no seats available. Had to get other flights for next day and flights in between because was the only flights available.",,Family Leisure,Economy Class,Guadalajara to Tijuana,January 2022,,,,1.0,,,1.0,no
17870,Shanghai Airlines,1,"""absolute disgrace of an airline""",16th October 2015,False,"Hong Kong to Shanghai Pudong on Shanghai Airlines. For reasons as yet unexplained to me, we boarded the aircraft at 16.45h and remained on the aircraft on the ground until 23.40h (yes, an unbelievable 7 hours), when we were then told that “the flight is now cancelled” and we deplaned again. During the time onboard neither the captain or first officer spoke with the passengers and the cabin crew made three announcements stating only that ""we would be updated on the departure time later"". An absolute disgrace of an airline and crew.",A321,Business,Economy Class,HKG to PVG,September 2015,1.0,1.0,,1.0,,,1.0,no
